



 ID-EVENTO;TITULO;PRECIO;GRATUITO;LARGA-DURACION;DIAS-SEMANA;DIAS-EXCLUIDOS;FECHA;FECHA-FIN;HORA;DESCRIPCION;CONTENT-URL;TITULO-ACTIVIDAD;URL-ACTIVIDAD;URL-INSTALACION;NOMBRE-INSTALACION;COORDENADA-X;COORDENADA-Y;LATITUD;LONGITUD;DISTRITO;TIPO;
8703562;"Mutua Madrid Open de Tenis 2016";"";"0";"1";"L,M,X,J,V,S,D";"";"2016-04-29 00:00:00.0";"2016-05-08 23:59:00.0";"10:00";"";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=f8e4314501313510VgnVCM1000000b205a0aRCRD";"Torneo de Tenis. Mutua Madrid Open 2016";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=40186e57c2e03510VgnVCM1000000b205a0aRCRD";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=b7c3a201600ff110VgnVCM1000000b205a0aRCRD";"Madrid Caja Mágica";"441933";"4469156";"40.369079808434435";"-3.685252060454517";"USERA";"/contenido/actividades/ActividadesDeportivas/Tenis";
10045365;"Partido de Fútbol. Champions League. Atlético de Madrid - Bayern Munich";"";"0";"0";"";"";"2016-04-27 00:00:00.0";"2016-04-27 23:59:00.0";"20:45";"   ";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=a94e8a1219d24510VgnVCM1000001d4a900aRCRD";"Partido de Fútbol. Champions League. Atlético de Madrid - Bayern Munich";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=472a8a1219d24510VgnVCM1000001d4a900aRCRD";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=6372a4ea6871c010VgnVCM1000000b205a0aRCRD";"Estadio Vicente Calderón";"438909";"4472774";"40.401455987482606";"-3.721215933848041";"ARGANZUELA";"/contenido/actividades/ActividadesDeportivas";
10047068;"Partido de Fútbol. Champions League. Real Madrid ? Manchester City";"";"0";"0";"";"";"2016-05-04 00:00:00.0";"2016-05-04 23:59:00.0";"20:45";"   ";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=e14b2c11cb234510VgnVCM2000001f4a900aRCRD";"Partido de Fútbol. Champions League. Real Madrid ? Manchester City";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=8b192c11cb234510VgnVCM2000001f4a900aRCRD";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=96fb79262ef5d010VgnVCM1000000b205a0aRCRD";"Estadio Santiago Bernabéu";"441727";"4478378";"40.45214189379938";"-3.68852449488213";"CHAMARTIN";"/contenido/actividades/ActividadesDeportivas";
8148995;"Partido de fútbol. Club Atlético de Madrid SAD - Rayo Vallecano de Madrid SAD";"";"0";"0";"";"";"2016-04-30 00:00:00.0";"2016-04-30 23:59:00.0";"18:15";"   ";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=201a30ebb669e410VgnVCM2000000c205a0aRCRD";"Fútbol. Campeonato Nacional de la Liga BBVA de Primera División 2015 / 2016. Partidos del Club Atlético de Madrid SAD";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=b023423c2169e410VgnVCM2000000c205a0aRCRD";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=6372a4ea6871c010VgnVCM1000000b205a0aRCRD";"Estadio Vicente Calderón";"438909";"4472774";"40.401455987482606";"-3.721215933848041";"ARGANZUELA";"/contenido/actividades/ActividadesDeportivas/Futbol";
8149003;"Partido de fútbol. Club Atlético de Madrid SAD - RC Celta de Vigo SAD";"";"0";"0";"";"";"2016-05-15 00:00:00.0";"2016-05-15 23:59:00.0";"00:00";"";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=701b30ebb669e410VgnVCM2000000c205a0aRCRD";"Fútbol. Campeonato Nacional de la Liga BBVA de Primera División 2015 / 2016. Partidos del Club Atlético de Madrid SAD";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=b023423c2169e410VgnVCM2000000c205a0aRCRD";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=6372a4ea6871c010VgnVCM1000000b205a0aRCRD";"Estadio Vicente Calderón";"438909";"4472774";"40.401455987482606";"-3.721215933848041";"ARGANZUELA";"/contenido/actividades/ActividadesDeportivas/Futbol";
8149101;"Partido de fútbol. Rayo Vallecano de Madrid SAD - Levante UD SAD";"";"0";"0";"";"";"2016-05-15 00:00:00.0";"2016-05-15 23:59:00.0";"00:00";"";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=6cbb75f68769e410VgnVCM2000000c205a0aRCRD";"Fútbol. Campeonato Nacional de la Liga BBVA de Primera División 2015 / 2016. Partidos del Rayo Vallecano de Madrid SAD";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=358430ebb669e410VgnVCM2000000c205a0aRCRD";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=bb32a4ea6871c010VgnVCM1000000b205a0aRCRD";"Estadio de Vallecas";"444245";"4471721";"40.39234504772624";"-3.6582462080515588";"PUENTE DE VALLECAS";"/contenido/actividades/ActividadesDeportivas/Futbol";
8149319;"Partido de fútbol. Real Madrid CF - Valencia CF SAD";"";"0";"0";"";"";"2016-05-08 00:00:00.0";"2016-05-08 23:59:00.0";"00:00";"";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=6ace4cd47b69e410VgnVCM1000000b205a0aRCRD";"Fútbol. Campeonato Nacional de la Liga BBVA de Primera División 2015 / 2016. Partidos del Real Madrid CF";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=587f93e09869e410VgnVCM2000000c205a0aRCRD";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=96fb79262ef5d010VgnVCM1000000b205a0aRCRD";"Estadio Santiago Bernabéu";"441727";"4478378";"40.45214189379938";"-3.68852449488213";"CHAMARTIN";"/contenido/actividades/ActividadesDeportivas/Futbol";
10037209;"Red Bull X-Fighters 2016";"";"0";"0";"";"";"2016-06-24 00:00:00.0";"2016-06-24 23:59:00.0";"21:30";"   ";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=a56849f279404510VgnVCM2000001f4a900aRCRD";"Red Bull X-Fighters 2016";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=759828e7c4404510VgnVCM2000001f4a900aRCRD";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=5d7d0713fb71c010VgnVCM1000000b205a0aRCRD";"Plaza Monumental de Toros de las Ventas";"443885";"4476078";"40.431580111585106";"-3.6628728693917627";"SALAMANCA";"/contenido/actividades/ActividadesDeportivas/Motociclismo";
10020562;"Triatlón Internacional de Madrid. Copa de Europa de Triatlón";"";"0";"1";"L,M,X,J,V,S,D";"";"2016-04-30 00:00:00.0";"2016-05-01 23:59:00.0";"08:15";"   ";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=182a64b68b893510VgnVCM2000001f4a900aRCRD";"Triatlón Internacional de Madrid. Copa de Europa de Triatlón";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=cf09206337df7410VgnVCM1000000b205a0aRCRD";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=482a315919a9e210VgnVCM1000000b205a0aRCRD";"Parque de la Casa de Campo";"438160";"4474253";"40.41472407139105";"-3.7301857404819767";"MONCLOA-ARAVACA";"/contenido/actividades/ActividadesDeportivas/Triatlon";
10052210;"Women?s Health Fit Night Out 2016";"";"0";"0";"";"";"2016-05-26 00:00:00.0";"2016-05-26 23:59:00.0";"16:00";"   ";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=fa632f6033254510VgnVCM2000001f4a900aRCRD";"Women?s Health Fit Night Out 2016";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=46d2e4e766334510VgnVCM2000001f4a900aRCRD";"";"";"";"";"";"";"";"/contenido/actividades/ActividadesDeportivas";
10037812;"XXXIV Trofeo Internacional de Karate Villa de Madrid";"";"1";"0";"";"";"2016-05-15 00:00:00.0";"2016-05-15 23:59:00.0";"11:00";"   ";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=fb970cbe1f404510VgnVCM1000001d4a900aRCRD";"XXXIV Trofeo Internacional de Karate Villa de Madrid";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=148d5809411a6310VgnVCM1000000b205a0aRCRD";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=c7968ed67151c010VgnVCM2000000c205a0aRCRD";"Palacio de Vistalegre Arena";"437421";"4471143";"40.386652528320425";"-3.738589169756046";"CARABANCHEL";"";


