COD_VIA;VIA_CLASE;VIA_PAR;VIA_NOMBRE;VIA_NOMBRE_ACENTOS;DISTRITO;BARRIO;IMPAR_MIN;IMPAR_MAX;PAR_MIN;PAR_MAX
00258400;CALLE;DE;EDUARDO VELA;EDUARDO VELA;09;7;1;29;2;12
00345550;CALLE;DE;EDUARDO VICENTE;EDUARDO VICENTE;04;4;5;7;-;-
00000753;CALLE;DE LA;EDUCACION;EDUCACIÓN;15;9;1;1;2;2
00258450;CALLE;DE;EFIGENIA;EFIGENIA;19;2;11;33;-;-
00258500;CALLE;DEL;EGA;EGA;05;1;3;13;4;12
00258600;PLAZA;DE;EGABRO;EGABRO;10;2;1;9;2;8
00258700;CALLE;DE;EGEA;EGEA;20;7;1;3;2;6
00258800;CALLE;DE;EGICA;ÉGICA;10;2;1;3;2;8
00258900;CALLE;DE;EGIPTO;EGIPTO;20;1;1;69;4;70
00259000;CALLE;DE;EGUILAZ;EGUÍLAZ;07;3;1;13;2;14
00259100;CALLE;DE;EIBAR;EIBAR;09;6;1;11;2;10
00259200;CALLE;DE;EIDER;EIDER;15;3;1;39;2;12
31000283;CALLE;DE;EINSTEIN;EINSTEIN;08;8;1;15;2;16
00002151;AVENIDA;;EJE CENTRAL;EJE CENTRAL;18;1;3;5;6;6
00002152;CALLE;;EJE 1;EJE 1;18;1;-;-;2;2
00002153;CALLE;;EJE 2;EJE 2;18;1;5;5;-;-
00002156;CALLE;;EJE 5;EJE 5;18;1;-;-;2;4
00002157;CALLE;;EJE 6;EJE 6;18;1;1;3;2;22
00002158;CALLE;;EJE 7;EJE 7;18;1;1;17;2;4
00002159;CALLE;;EJE 8;EJE 8;18;1;17;17;2;16
00002160;CALLE;;EJE 9;EJE 9;18;1;1;1;2;4
00259400;GLORIETA;DEL;EJERCITO;EJÉRCITO;10;4;1;1;-;-
00028150;CALLE;DE;EL ALGABEÑO;EL ALGABEÑO;16;2;1;125;2;192
31001265;CALLE;DE;EL ASOMBRO DE DAMASCO;EL ASOMBRO DE DAMASCO;17;5;1;33;2;40
00081000;CALLE;DE;EL ATAZAR;EL ATAZAR;02;5;1;9;2;10
31000631;CALLE;DE;EL BARRACO;EL BARRACO;18;1;3;3;2;2
31001282;CALLE;DE;EL BERRUECO;EL BERRUECO;17;1;-;-;2;2
31000636;CALLE;DE;EL BOALO;EL BOALO;18;1;1;7;2;4
00178301;CALLE;DE;EL BOSCO;EL BOSCO;13;5;-;-;28;28
00178301;CALLE;DE;EL BOSCO;EL BOSCO;13;6;-;-;14;22
00113800;CALLE;DE;EL BOYERO;EL BOYERO;09;7;1;19;2;20
00002626;CALLE;DE;EL CAIRO;EL CAIRO;14;1;-;-;2;2
00905601;CAMINO;DE;EL CALVERON;EL CALVERÓN;08;8;29;29;50;50
31001266;CALLE;DE;EL CASERIO;EL CASERÍO;17;5;1;1;8;20
00271700;CALLE;DE;EL ESCORIAL;EL ESCORIAL;01;5;1;17;2;28
00273800;CALLE;DE;EL ESPAÑOLETO;EL ESPAÑOLETO;07;4;1;27;2;30
00275200;CALLE;DE;EL ESPINAR;EL ESPINAR;11;4;1;51;4;58
00296250;AVENIDA;DE;EL FERROL;EL FERROL;08;4;1;49;2;38
00322400;CALLE;DE;EL GALLO;EL GALLO;16;2;1;11;2;10
00339000;CALLE;DE;EL GOLOSO;EL GOLOSO;09;6;1;21;2;22
00344100;CALLE;DE;EL GRECO;EL GRECO;10;3;1;29A;2;20
00259450;CALLE;DE;EL HUESPED DEL SEVILLANO;EL HUÉSPED DEL SEVILLANO;17;5;1;29;2;40
31001264;CALLE;DE;EL LUCERO DEL ALBA;EL LUCERO DEL ALBA;17;5;1;21;2;12
00512500;CALLE;DE;EL MOLAR;EL MOLAR;06;1;1;3;2;10
00002231;CALLE;DE;EL PADRINO;EL PADRINO;13;3;1;7;2;8
00563600;CARRETERA;DE;EL PARDO;EL PARDO;08;1;35;63;60;500SA
00563600;CARRETERA;DE;EL PARDO;EL PARDO;09;3;3;31;2;2
00563700;PASEO;DE;EL PARDO;EL PARDO;08;1;1;53;2;26
00563850;CARRETERA;DE;EL PARDO A COLMENAR VIEJO;EL PARDO A COLMENAR VIEJO;08;1;3;13;2;94
00002476;CARRETERA;DE;EL PARDO A LA PLAYA;EL PARDO A LA PLAYA;09;3;-;-;2;10
00000961;CALLE;DE;EL PAULAR;EL PAULAR;14;3;1;7B;2;14
00569600;PLAZA;DE;EL PAULAR;EL PAULAR;15;3;1;5;2;4
00570850;CALLE;DE;EL PEDERNOSO;EL PEDERNOSO;16;3;1;19;-;-
00594700;CALLE;DE;EL PINGARRON;EL PINGARRÓN;13;3;1;11;-;-
00611350;CALLE;DE;EL PROVENCIO;EL PROVENCIO;16;3;31;41;8;22
31001844;CALLE;DE;EL REAL DE SAN VICENTE;EL REAL DE SAN VICENTE;18;1;1;73;2;26
00657000;CALLE;DE;EL SALVADOR;EL SALVADOR;01;6;1;3;2;6
31001267;CALLE;DE;EL SANTO DE LA ISIDRA;EL SANTO DE LA ISIDRA;17;5;1;31;-;-
00721700;CALLE;DE;EL SIGLO FUTURO;EL SIGLO FUTURO;11;5;3;15;4;14
00729100;CALLE;DE;EL SOTO;EL SOTO;02;4;1;1;2;6
00735700;CALLE;DE;EL TATO;EL TATO;16;2;1;29;2;28
00741500;CALLE;DE;EL TIEMBLO;EL TIEMBLO;09;3;3;3;2;2
00743500;CALLE;DE;EL TOBOSO;EL TOBOSO;11;3;1;123;2;150B
31000165;CALLE;DE;EL VELLON;EL VELLÓN;08;3;1;31;2;44
31000388;CALLE;DE;EL YESERO;EL YESERO;13;4;1;5;4;62
00259500;CALLE;DE;ELADIO LOPEZ VILCHES;ELADIO LÓPEZ VILCHES;15;9;3;15H;2;18
00002457;CALLE;DE;ELBA;ELBA;20;5;3;29;2;4
00259550;CALLE;DE;ELCHE;ELCHE;17;4;3;11;2;8
00259575;CALLE;DE;ELDA;ELDA;17;4;1;7;2;10
00259580;CALLE;DE LOS;ELECTRICISTAS;ELECTRICISTAS;20;4;1;11;-;-
00000735;CALLE;DE LA;ELECTRONICA;ELECTRÓNICA;15;5;1;5;2;8
00002681;CALLE;DE;ELENA FORTUN;ELENA FORTÚN;16;6;5;5;-;-
00260000;CALLE;DEL;ELFO;ELFO;15;3;21;149;12;164
00260000;CALLE;DEL;ELFO;ELFO;15;4;1;15;2;10
00260100;CALLE;DE;ELGOIBAR;ELGÓIBAR;09;6;-;-;2;4
00260300;CALLE;DE;ELIAS DUPUY;ELÍAS DUPUY;15;3;5;7;2;18
00260900;CALLE;DE;ELISA;ELISA;12;5;1;17;2;32
00261100;CALLE;DE;ELISA OCHOA;ELISA OCHOA;12;7;-;-;2;2
00261200;CALLE;DE;ELIZONDO;ELIZONDO;12;3;1;75;2;54
00261300;CALLE;DE;ELOISA DE LA HERA;ELOÍSA DE LA HERA;09;3;1;15;2;18
00261400;CALLE;DE;ELOY GONZALO;ELOY GONZALO;07;3;1;35;2;40
00261700;CALLE;DE;ELVAS;ELVAS;11;7;1;23;2;8
00261800;CALLE;DE;ELVIRA;ELVIRA;04;3;1;31;2;36
00261900;CALLE;DE;ELVIRA BARRIOS;ELVIRA BARRIOS;11;3;1;15;2;18
00262000;CALLE;DE;EMBAJADORES;EMBAJADORES;01;2;1;53;2;70
00262000;CALLE;DE;EMBAJADORES;EMBAJADORES;02;2;-;-;72;112
00262000;CALLE;DE;EMBAJADORES;EMBAJADORES;02;3;-;-;114;178
00262000;CALLE;DE;EMBAJADORES;EMBAJADORES;02;4;181;225;200;316E
00262000;CALLE;DE;EMBAJADORES;EMBAJADORES;02;5;87;177I;180;198B
00262000;CALLE;DE;EMBAJADORES;EMBAJADORES;02;6;55;85B;-;-
00262000;CALLE;DE;EMBAJADORES;EMBAJADORES;13;1;247;251;320;480
00262100;GLORIETA;DE;EMBAJADORES;EMBAJADORES;01;2;1;1;2;10
00262100;GLORIETA;DE;EMBAJADORES;EMBAJADORES;02;2;5;7B;6;6
00262100;GLORIETA;DE;EMBAJADORES;EMBAJADORES;02;6;3;3;4;4
31000491;CALLE;DEL;EMBALSE DE EL VELLON;EMBALSE DE EL VELLÓN;18;1;19;21;2;18
31000495;CALLE;DEL;EMBALSE DE LA JAROSA;EMBALSE DE LA JAROSA;18;1;1;7;8;24
31000642;CALLE;DEL;EMBALSE DE MANZANARES;EMBALSE DE MANZANARES;18;1;5;5;2;110
31000489;CALLE;DEL;EMBALSE DE NAVACERRADA;EMBALSE DE NAVACERRADA;18;1;1;69;30;60
31000492;CALLE;DEL;EMBALSE DE PICADAS;EMBALSE DE PICADAS;18;1;1;15;2;14
31000641;CALLE;DEL;EMBALSE DE PINILLA;EMBALSE DE PINILLA;18;1;1;1;2;50
31000490;CALLE;DEL;EMBALSE DE SAN JUAN;EMBALSE DE SAN JUAN;18;1;5;15;-;-
31000493;CALLE;DEL;EMBALSE DE VALMAYOR;EMBALSE DE VALMAYOR;18;1;3;49;2;14
00905112;PASEO;DEL;EMBARCADERO;EMBARCADERO;09;1;1;3;2;16
00262300;CALLE;DE;EMERENCIANA ZURILLA;EMERENCIANA ZURILLA;09;4;1;85;2;84
00262500;CALLE;DE;EMETERIO CASTAÑOS;EMETERIO CASTAÑOS;15;7;-;-;2;6
00262500;CALLE;DE;EMETERIO CASTAÑOS;EMETERIO CASTAÑOS;15;8;1;11;-;-
00262500;CALLE;DE;EMETERIO CASTAÑOS;EMETERIO CASTAÑOS;16;3;23;23;-;-
00262500;CALLE;DE;EMETERIO CASTAÑOS;EMETERIO CASTAÑOS;16;4;13;17;8;16
00262600;CALLE;DE;EMILIA;EMILIA;06;4;17;57;4;56
00262700;CALLE;DE;EMILIA BALLESTER;EMILIA BALLESTER;17;1;1;51;2;50
00432401;CALLE;DE;EMILIANO BARRAL;EMILIANO BARRAL;15;6;1;13D;2;18B
00263100;CALLE;DE;EMILIO CAMPION;EMILIO CAMPIÓN;05;1;1;27;2;20
00263200;CALLE;DE;EMILIO CARRERE;EMILIO CARRERE;07;2;1;11;2;12
00264400;CALLE;DE;EMILIO DE LA TEJERA;EMILIO DE LA TEJERA;10;4;1;1;-;-
00263400;CALLE;DE;EMILIO DOMINGUEZ;EMILIO DOMÍNGUEZ;08;3;1;5;2;18
00263500;CALLE;DE;EMILIO FERRARI;EMILIO FERRARI;15;2;1;137;2;160
00263600;CALLE;DE;EMILIO GASTESI FERNANDEZ;EMILIO GASTESI FERNÁNDEZ;15;3;1;9;2;40
00263650;PLAZA;DE;EMILIO JIMENEZ MILLAS;EMILIO JIMÉNEZ MILLAS;09;2;1;1;2;4
00263800;CALLE;DE;EMILIO MARIO;EMILIO MARIO;05;3;1;19;2;18
00263900;CALLE;DE;EMILIO MUÑOZ;EMILIO MUÑOZ;20;1;1;57;-;-
00264000;CALLE;DE;EMILIO ORTUÑO;EMILIO ORTUÑO;13;6;1;37;2;44
00264100;CALLE;DE;EMILIO RABOSO;EMILIO RABOSO;13;2;1;41;2;50
00264300;CALLE;DE;EMILIO RUBIN;EMILIO RUBÍN;15;7;1;11;2;14
00264500;CALLE;DE;EMILIO VARGAS;EMILIO VARGAS;15;6;1;21;2;20B
31001902;CALLE;DE;EMMA PENELLA;EMMA PENELLA;16;6;1;1;2;24
00264700;CALLE;;EMPEDRADA;EMPEDRADA;21;3;1;35;2;34
00264800;PLAZA;DEL;EMPERADOR CARLOS V;EMPERADOR CARLOS V;01;2;7;11;8;10
00264800;PLAZA;DEL;EMPERADOR CARLOS V;EMPERADOR CARLOS V;01;3;1;1;-;-
00264800;PLAZA;DEL;EMPERADOR CARLOS V;EMPERADOR CARLOS V;02;6;5;5;4;6
00264800;PLAZA;DEL;EMPERADOR CARLOS V;EMPERADOR CARLOS V;02;7;3;3B;-;-
00264800;PLAZA;DEL;EMPERADOR CARLOS V;EMPERADOR CARLOS V;03;5;-;-;2;2
00264900;PLAZA;DE LA;EMPERATRIZ;EMPERATRIZ;11;6;1;17;4;18
00265100;AVENIDA;DE LA;EMPERATRIZ ISABEL;EMPERATRIZ ISABEL;11;3;1;21;2;14
00541955;CALLE;DEL;EMPLEO JUVENIL;EMPLEO JUVENIL;12;1;1;3;2;4
00265200;CALLE;DE LAS;ENCAJERAS;ENCAJERAS;20;3;1;21;2;22
00265295;CALLE;DE LA;ENCARNACION;ENCARNACIÓN;01;1;1;5;2;10
00265300;PLAZA;DE LA;ENCARNACION;ENCARNACIÓN;01;1;1;3;2;4
00265400;CALLE;DE;ENCARNACION ANDRES;ENCARNACIÓN ANDRÉS;09;4;1;11;2;12
00265700;CALLE;DE;ENCARNACION DEL PINO;ENCARNACIÓN DEL PINO;17;1;3;29;2;38
00265500;CALLE;DE;ENCARNACION GONZALEZ;ENCARNACIÓN GONZÁLEZ;13;2;1;21;2;30
00265600;CALLE;DE;ENCARNACION OVIOL;ENCARNACIÓN OVIOL;17;4;1;63;2;80
31004089;CAMINO;DEL;ENCINAR;ENCINAR;16;6;-;-;2;2
00265900;CALLE;DE LAS;ENCINAS;ENCINAS;05;5;1;37;2;36
00002964;TRAVESIA;DE LAS;ENCINAS;ENCINAS;05;5;-;-;2;2
00266000;CALLE;DE;ENCISO;ENCISO;19;2;1;3B;2;10
00266100;CALLE;DE LA;ENCOMIENDA;ENCOMIENDA;01;2;1;25;2;26
00266200;TRAVESIA;DE LA;ENCOMIENDA;ENCOMIENDA;01;2;1;5;2;4
00266300;CALLE;DE LA;ENCOMIENDA DE PALACIOS;ENCOMIENDA DE PALACIOS;14;1;231;239;264;380
00266300;CALLE;DE LA;ENCOMIENDA DE PALACIOS;ENCOMIENDA DE PALACIOS;14;5;1;225;2;250
00554400;PLAZA;DEL;ENCUENTRO;ENCUENTRO;14;4;1;5;-;-
00554400;PLAZA;DEL;ENCUENTRO;ENCUENTRO;14;5;3;3;4;4
00554400;PLAZA;DEL;ENCUENTRO;ENCUENTRO;14;6;-;-;2;2
00266400;CALLE;DE LAS;ENDRINAS;ENDRINAS;05;4;1;21;2;26
00083501;CALLE;DEL;ENEBRO;ENEBRO;09;7;1;21;2;2
00266500;CALLE;DE;ENERO;ENERO;20;6;1;33;2;22
00266700;CALLE;DE;ENRIQUE AGUILAR;ENRIQUE AGUILAR;06;6;1;9;4;12
31000077;CALLE;DE;ENRIQUE AZCOAGA;ENRIQUE AZCOAGA;16;6;1;1;-;-
00266900;CALLE;DE;ENRIQUE BORRAS;ENRIQUE BORRÁS;10;3;1;17;2;18
00267000;CALLE;DE;ENRIQUE D'ALMONTE;ENRIQUE D'ALMONTE;04;3;1;1;2;10
31001316;CALLE;DE;ENRIQUE DE ALDAMA;ENRIQUE DE ALDAMA;08;3;1;1;2;10
00267750;PLAZA;DE;ENRIQUE DE MESA;ENRIQUE DE MESA;18;2;1;7;2;8
31000311;CALLE;DEL;ENRIQUE DE ORO;ENRIQUE DE ORO;11;6;1;9;-;-
00267850;CALLE;DE;ENRIQUE DE PRADA;ENRIQUE DE PRADA;16;1;1;9;-;-
00267100;CALLE;DE;ENRIQUE FUENTES;ENRIQUE FUENTES;12;5;1;27;2;24
00267150;CALLE;DE;ENRIQUE GARCIA ALVAREZ;ENRIQUE GARCÍA ÁLVAREZ;18;2;1;15;2;18
00267200;CALLE;DE;ENRIQUE GRANADOS;ENRIQUE GRANADOS;10;2;1;13;2;8
00268800;CALLE;DE;ENRIQUE I;ENRIQUE I;06;1;1;9;2;2
00267350;CALLE;DE;ENRIQUE JARDIEL PONCELA;ENRIQUE JARDIEL PONCELA;05;5;1;15;2;14
00002684;CALLE;DE;ENRIQUE LAFUENTE FERRARI;ENRIQUE LAFUENTE FERRARI;16;6;-;-;2;42
00267400;CALLE;DE;ENRIQUE LARRETA;ENRIQUE LARRETA;05;6;1;9;2;14
00267500;CALLE;DE;ENRIQUE LEYRA;ENRIQUE LEYRA;08;3;3;17;2;20
00267600;CALLE;DE;ENRIQUE LOPEZ;ENRIQUE LÓPEZ;20;7;1;25;2;20
00267700;CALLE;DE;ENRIQUE MARTINEZ;ENRIQUE MARTÍNEZ;11;6;3;3;4;8
00267800;CALLE;DE;ENRIQUE MOYANO;ENRIQUE MOYANO;11;1;1;7;2;6
00268200;CALLE;DE;ENRIQUE SIMONIS;ENRIQUE SIMONIS;02;4;5;27;2;28
00268400;CALLE;DE;ENRIQUE TROMPETA;ENRIQUE TROMPETA;02;3;1;11;2;14
31001771;CALLE;DE;ENRIQUE URQUIJO;ENRIQUE URQUIJO;19;1;5;151;6;210
00268500;CALLE;DE;ENRIQUE VELASCO;ENRIQUE VELASCO;13;6;1;53;2;50
00268600;PASAJE;DE;ENRIQUE VELASCO;ENRIQUE VELASCO;13;6;1;7;2;12
00268700;TRAVESIA;DE;ENRIQUE VELASCO;ENRIQUE VELASCO;13;6;1;5;2;14
31000474;AVENIDA;DEL;ENSANCHE DE VALLECAS;ENSANCHE DE VALLECAS;18;1;1;89;2;122F
00269100;PLAZA;DE;ENSIDESA;ENSIDESA;20;8;1;3;2;6
00269200;CALLE;;ENTRE ARROYOS;ENTRE ARROYOS;14;4;1;33;2;116
00269300;CALLE;DE;ENTRENA;ENTRENA;15;6;3;3;-;-
31000519;CALLE;DE;ENTREPEÑAS;ENTREPEÑAS;18;1;5;53;44;90
00269400;AVENIDA;;ENTREVIAS;ENTREVÍAS;13;1;81;81;2;140
00269500;GLORIETA;DE;EOLO;EOLO;20;7;-;-;2;2
00269600;CALLE;DE LA;EPIFANIA;EPIFANÍA;20;1;3;17;2;18
00269800;CALLE;DE LAS;ERAS;ERAS;16;4;1;9;4;10
00270000;CALLE;DE LAS;ERAS ALTAS;ERAS ALTAS;18;1;1;17;2;8
31000276;CALLE;DE;ERASMO DE ROTTERDAM;ERASMO DE ROTTERDAM;08;8;1;9;2;6
00270100;CALLE;DE;ERASO;ERASO;04;4;1;73;2;46
00270200;CALLE;DE;ERCILLA;ERCILLA;02;2;1;53;2;54
00270300;CALLE;DEL;ERESMA;ERESMA;05;1;1;7;2;16
31001806;CALLE;DEL;ERIAL DE LA ABUELA;ERIAL DE LA ABUELA;19;1;49;51;172;172
00270350;CALLE;DE;ERIDANO;ERÍDANO;09;7;1;5;2;8
00270400;PASEO;DE LA;ERMITA;ERMITA;09;7;1;11;2;42
00905275;CAMINO;DE LA;ERMITA DE LA VIRGEN DE LA TORRE;ERMITA DE LA VIRGEN DE LA TORRE;19;1;3;3;6;52
00270500;PASEO;DE LA;ERMITA DEL SANTO;ERMITA DEL SANTO;10;1;19;65;46;66
00270500;PASEO;DE LA;ERMITA DEL SANTO;ERMITA DEL SANTO;10;2;1;17;2;44
00270500;PASEO;DE LA;ERMITA DEL SANTO;ERMITA DEL SANTO;11;3;71;79;68;80
31000681;CALLE;DE;ERNEST HEMINGWAY;ERNEST HEMINGWAY;11;2;-;-;2;8C
00270600;CALLE;DE;ERNESTINA MANUEL DE VILLENA;ERNESTINA MANUEL DE VILLENA;12;5;1;7;2;8
31000401;CALLE;DE;EROS;EROS;02;4;3;7G;6;24
00270700;CALLE;DE;ERVIGIO;ERVIGIO;11;3;1;7;2;36
00271000;CALLE;DE LA;ESCALERILLA DE PIEDRA;ESCALERILLA DE PIEDRA;01;6;1;1;2;2
00271100;CALLE;DE LA;ESCALINATA;ESCALINATA;01;1;1;23;2;12
00271200;CALLE;DE;ESCALONA;ESCALONA;10;4;1;111;2;90
00271250;CALLE;DE;ESCALONILLA;ESCALONILLA;10;1;1;155;2;30
00271260;CALLE;DEL;ESCANDON;ESCANDÓN;17;1;3;3;4;10
00271400;CALLE;DEL;ESCARAMUJO;ESCARAMUJO;06;5;1;3;2;4
00271600;CALLE;DE;ESCOCIA;ESCOCIA;11;3;1;7;2;30
00271750;CALLE;DE;ESCORIAZA;ESCORIAZA;17;5;1;17;2;18
00271775;CALLE;DEL;ESCORPION;ESCORPIÓN;21;2;1;33;2;28
00271800;CALLE;DE;ESCOSURA;ESCOSURA;07;2;1;27;2;22
00271900;CALLE;DE LOS;ESCRIBANOS;ESCRIBANOS;17;1;1;33;2;36
00001193;CALLE;DEL;ESCRITOR;ESCRITOR;13;3;1;17;2;10
00272000;CALLE;DE LA;ESCUADRA;ESCUADRA;01;2;1;13;2;14
00272100;CALLE;DEL;ESCUADRON;ESCUADRÓN;08;1;-;-;2;10
00272200;PASAJE;DEL;ESCUDO;ESCUDO;03;3;5;7;2;4
31000020;CALLE;DEL;ESCUDO DE ORO;ESCUDO DE ORO;11;6;5;13;2;6
31000649;CALLE;DE LA;ESCUELA DE VALLECAS;ESCUELA DE VALLECAS;18;1;33;45;12;40
00272400;CALLE;DE LAS;ESCUELAS;ESCUELAS;12;5;1;1;2;18
00272600;CALLE;DE;ESCULANO;ESCULANO;20;1;17;25;4;18
00001871;CALLE;DEL;ESCULTOR PERESEJO;ESCULTOR PERESEJO;09;7;1;13;2;114
00272700;CALLE;DE LOS;ESCULTORES;ESCULTORES;20;4;3;19;-;-
00272800;CALLE;DE LOS;ESENCIEROS;ESENCIEROS;20;4;-;-;2;8
00272900;CALLE;DE LA;ESFINGE;ESFINGE;20;7;1;77;2;92
00273000;CALLE;DE LA;ESGRIMA;ESGRIMA;01;2;1;13;2;14
00002884;CALLE;DE LA;ESMALTINA;ESMALTINA;17;3;1;13;2;14
00273200;CALLE;DE LA;ESMERALDA;ESMERALDA;12;5;1;25;4;20
00273300;CALLE;DE LA;ESPADA;ESPADA;01;2;1;11;2;16
00273500;CALLE;DE;ESPALTER;ESPALTER;03;5;1;17;2;12
00273600;PLAZA;DE;ESPAÑA;ESPAÑA;01;1;1;7;2;8
00273600;PLAZA;DE;ESPAÑA;ESPAÑA;01;5;19;19;-;-
00273600;PLAZA;DE;ESPAÑA;ESPAÑA;09;2;9;17;10;20
00273700;PASAJE;DEL;ESPAÑOL;ESPAÑOL;11;2;1;5;2;4
00273900;CALLE;DE;ESPARTA;ESPARTA;20;7;1;27;2;38
00273900;CALLE;DE;ESPARTA;ESPARTA;20;8;29;29;40;40
00274000;CALLE;DE;ESPARTEROS;ESPARTEROS;01;6;1;13;2;18
00274100;CALLE;DE;ESPARTINAS;ESPARTINAS;04;2;1;9;2;10
00274300;CALLE;DEL;ESPEJO;ESPEJO;01;1;1;17;2;16
00274400;CALLE;DE;ESPERANZA;ESPERANZA;01;2;1;17;2;14
00274600;PASEO;DE LA;ESPERANZA;ESPERANZA;02;2;1;59;2;24
00274900;CALLE;DE;ESPERANZA GARCIA;ESPERANZA GARCÍA;18;1;1;23;2;8
00275000;CALLE;DE;ESPERANZA MACARENA;ESPERANZA MACARENA;17;4;1;35;2;38
00275100;CALLE;DE;ESPERANZA SANCHEZ CARRASCOSA;ESPERANZA SÁNCHEZ CARRASCOSA;06;5;11;61;2;64
00275300;AVENIDA;DE LA;ESPINELA;ESPINELA;17;1;1;49;2;54
00275400;CALLE;DEL;ESPINO;ESPINO;01;2;1;5;2;6
00275500;CALLE;DE LOS;ESPINOS;ESPINOS;09;7;1;25;2;10
00275600;CALLE;DE LA;ESPIREA;ESPIREA;16;1;1;37;2;28
00275700;CALLE;DEL;ESPIRITU SANTO;ESPÍRITU SANTO;01;5;1;49;2;54
00275900;CALLE;DEL;ESPLIEGO;ESPLIEGO;16;5;25;25;-;-
00276100;CALLE;DE;ESPOZ Y MINA;ESPOZ Y MINA;01;3;13;17;28;40
00276100;CALLE;DE;ESPOZ Y MINA;ESPOZ Y MINA;01;6;1;11;2;26
00276200;CALLE;DE;ESPRONCEDA;ESPRONCEDA;07;5;1;45;2;40
00002667;CALLE;DE LA;ESPUELA;ESPUELA;16;1;5;5;2;4
00276300;CALLE;DE;ESQUILACHE;ESQUILACHE;07;6;1;17;2;26
00276400;CALLE;DE;ESQUIVEL;ESQUIVEL;07;2;3;3;4;4
00276450;PLAZA;DE;ESQUIVIAS;ESQUIVIAS;08;4;7;11;6;14
00276600;AVENIDA;DE LA;ESTACION;ESTACIÓN;09;6;1;11;-;-
00276490;CALLE;DE LA;ESTACION;ESTACIÓN;10;6;5;7;2;8
00276900;CARRETERA;DE LA;ESTACION;ESTACIÓN;09;6;9;9;12;16
00277100;PASEO;DE LA;ESTACION;ESTACIÓN;17;4;1;7;2;2
00905723;CARRETERA;DE LA;ESTACION DE CONTENEDORES;ESTACIÓN DE CONTENEDORES;17;3;1;15;2;2
00277700;CARRETERA;A LA;ESTACION DE HORTALEZA;ESTACIÓN DE HORTALEZA;16;4;-;-;2;18
00277700;CARRETERA;A LA;ESTACION DE HORTALEZA;ESTACIÓN DE HORTALEZA;16;5;1;13;-;-
00277700;CARRETERA;A LA;ESTACION DE HORTALEZA;ESTACIÓN DE HORTALEZA;16;6;-;-;54;56
00002915;CALLE;DE LA;ESTACION DE LA RISTRA;ESTACIÓN DE LA RISTRA;19;1;1;1;-;-
00278500;CALLE;DE LA;ESTAFETA;ESTAFETA;12;3;1;47;2;38
00278600;CALLE;DE;ESTANISLAO FIGUERAS;ESTANISLAO FIGUERAS;09;2;1;7;2;12
00278700;CALLE;DE;ESTANISLAO GOMEZ;ESTANISLAO GÓMEZ;16;1;1;81;2;54
31001733;CALLE;DE;ESTANISLAO PEREZ PITA;ESTANISLAO PÉREZ PITA;16;6;7;7;-;-
31001733;CALLE;DE;ESTANISLAO PEREZ PITA;ESTANISLAO PÉREZ PITA;21;4;25;71;18;70
00278825;CALLE;DEL;ESTAÑO;ESTAÑO;17;1;-;-;2;12
00279000;PLAZA;DEL;ESTE;ESTE;06;4;1;7;2;6
00279300;CALLE;DE;ESTEBAN CARROS;ESTEBAN CARROS;13;1;19;73;2;50
00279500;CALLE;DE;ESTEBAN COLLANTES;ESTEBAN COLLANTES;15;2;1;63;2;56
00025410;CALLE;DE;ESTEBAN DE ARTEAGA;ESTEBAN DE ARTEAGA;11;1;3;7;2;8
00279600;CALLE;DE;ESTEBAN MORA;ESTEBAN MORA;15;5;1;55;2;36
00001173;CALLE;DE;ESTEBAN PALACIOS;ESTEBAN PALACIOS;16;2;1;25;2;14
00279725;CALLE;DE;ESTEBAN TERRADAS;ESTEBAN TERRADAS;05;6;1;11;2;8
00279750;CALLE;DE;ESTEBANEZ CALDERON;ESTÉBANEZ CALDERÓN;06;3;1;7;2;2
00002876;CALLE;DE LA;ESTEFANITA;ESTEFANITA;17;3;1;15;2;74
00002855;CALLE;DE;ESTELLA;ESTELLA;08;6;1;21;8;10
00280000;CALLE;DE;ESTEVEZ;ESTÉVEZ;05;1;1;7;2;14
00280100;CALLE;DE;ESTIBALIZ;ESTÍBALIZ;16;4;1;61;2;30
00280200;CALLE;DEL;ESTIGIA;ESTIGIA;20;1;1;7;4;8
00002437;CALLE;DE;ESTOCOLMO;ESTOCOLMO;20;5;1;91;2;40
00280400;CALLE;DE;ESTORIL;ESTORIL;11;7;-;-;2;14
00001115;CALLE;DE;ESTRASBURGO;ESTRASBURGO;21;5;1;7;2;8
00281000;CALLE;DEL;ESTRECHO DE COREA;ESTRECHO DE COREA;15;4;1;9;2;34
00281100;CALLE;DEL;ESTRECHO DE GIBRALTAR;ESTRECHO DE GIBRALTAR;15;3;1;27;2;22A
00281200;CALLE;DEL;ESTRECHO DE MESINA;ESTRECHO DE MESINA;15;6;1;9;6;14
00281200;CALLE;DEL;ESTRECHO DE MESINA;ESTRECHO DE MESINA;16;2;11;37;16;44
00001183;CALLE;DEL;ESTRECHO DE ORMUZ;ESTRECHO DE ORMUZ;16;4;1;7;2;8
00281300;CALLE;DEL;ESTRECHO DE TORRES;ESTRECHO DE TORRES;16;3;1;25;2;30
00281400;CALLE;DE LA;ESTRELLA;ESTRELLA;01;5;1;21;2;22
31000179;CALLE;DE LA;ESTRELLA DENEBOLA;ESTRELLA DENÉBOLA;02;5;1;21;8;24
